Employee No.,FROM,TO,Designation,Status,Annual Salary,Station/Place of Assignment,L/V and ABS Without Pay,Separation Cause/d
6358055,07/08/02,12/31/02,T - I,PERM.," 119,268.00 ",CATEEL DIST.,,"T-1, STEP 1"
6358055,01/01/03,12/31/03,T - I,PERM.," 119,268.00 ",CATEEL DIST.,,
6358055,01/01/04,12/31/04,T - I,PERM.," 119,268.00 ",CATEEL DIST.,,
6358055,01/01/05,12/31/05,T - I,PERM.," 119,268.00 ",CATEEL DIST.,,
6358055,01/01/06,12/31/06,T - I,PERM.," 122,256.00 ",CATEEL DIST.,,T - I STEP 2
6358055,01/01/07,06/30/07,T - I,PERM.," 122,256.00 ",CATEEL DIST.,,
6358055,07/01/07,12/31/07,T - I,PERM.," 134,484.00 ",CATEEL DIST.,,E. O. 611
6358055,01/01/08,06/30/08,T - I,PERM.," 134,484.00 ",CATEEL DIST.,,
6358055,07/01/08,10/31/08,T - I,PERM.," 147,936.00 ",CATEEL DIST.,,E. O. 719
6358055,11/01/08,12/31/08,T - I,PERM.," 151,620.00 ",CATEEL DIST.,,T - I STEP 3
6358055,01/01/09,06/30/09,T - I,PERM.," 151,620.00 ",CATEEL DIST.,,
6358055,07/01/09,09/27/09,T - I,PERM.," 177,300.00 ",CATEEL DIST.,,E.O. 811
6358055,09/28/09,12/31/09,T - II,PERM.," 181,428.00 ",CATEEL DIST.,,T - II STEP - I
6358055,01/01/10,06/24/10,T - II,PERM.," 181,428.00 ",CATEEL DIST.,,
6358055,06/25/10,12/31/10,T - II,PERM.," 200,712.00 ",CATEEL DIST.,,NBC 524
6358055,01/01/11,05/31/11,T - II,PERM.," 200,712.00 ",CATEEL DIST.,,
6358055,06/01/11,12/31/11,T - II,PERM.," 219,996.00 ",CATEEL DIST.,,NBC 530
6358055,01/01/12,05/31/12,T - II,PERM.," 219,996.00 ",CATEEL DIST.,,
6358055,06/01/12,09/27/12,T - II,PERM.," 239,280.00 ",CATEEL DIST.,,
6358055,09/28/12,12/31/12,T - II,PERM.," 241,680.00 ",CATEEL DIST.,,"T-II, STEP 2"
6358055,01/01/13,12/31/13,T - II,PERM.," 241,680.00 ",CATEEL DIST.,,
6358055,01/01/14,12/31/14,T - II,PERM.," 241,680.00 ",CATEEL DIST.,,
6358055,01/01/15,09/27/15,T - II,PERM.," 241,680.00 ",CATEEL DIST.,,
6358055,09/28/15,12/31/15,T - II,PERM.," 244,092.00 ",CATEEL DIST.,,"T-II, STEP 3"
6358055,01/01/16,12/31/16,T - II,PERM.," 253,092.00 ",CATEEL DIST.,,NBC 562
6358055,01/01/17,12/31/17,T - II,PERM.," 262,416.00 ",CATEEL DIST.,,NBC 568
6358055,01/01/18,09/27/18,T -II,PERM.," 272,088.00 ",CATEEL DIST.,,NBC 572
6358055,09/28/18,12/31/18,T- II,PERM.," 275,304.00 ",CATEEL DIST.,,"T-II, STEP 4"
6358055,01/01/19,12/31/19,T - II,PERM.," 285,612.00 ",CATEEL DIST.,,NBC 575
6358055,01/01/20,12/31/20,T- II,PERM.," 304,296.00 ",CATEEL DIST.,,NBC 579
6358055,01/01/21,09/27/21,T- II,PERM.," 322,980.00 ",CATEEL DIST.,,NBC 584
6358055,09/28/21,12/31/21,T- II,PERM.," 326,520.00 ",CATEEL DIST.,,"T-II,STEP 5"
6358055,01/01/22,12/31/2022,T- II,PERM.," 319,200.00 ",CATEEL DIST.,,NBC 588
6358055,01/01/23,To present,T -II,PERM.," 337,932.00 ",CATEEL DIST.,,NBC 591
6342410,10/16/90,12/31/90,T - I,PROV.," 37,224.00 ",CATEEL DIST.,,
6342410,01/01/91,12/31/91,T - I,PROV.," 37,224.00 ",CATEEL DIST.,,
6342410,01/01/92,12/31/92,T - I,PROV.," 37,224.00 ",CATEEL DIST.,,
6342410,01/01/93,12/31/93,T - I,PROV.," 37,224.00 ",CATEEL DIST.,,
6342410,01/01/94,06/04/94,T - I,PROV.," 46,824.00 ",CATEEL DIST.,,
6342410,07/22/97,10/31/97,T - I,PERM.," 87,708.00 ",CATEEL DIST.,,
6342410,11/01/97,12/31/97,T - I,PERM.," 103,260.00 ",CATEEL DIST.,,E.O. 389A
6342410,01/01/98,12/31/98,T - I,PERM.," 103,260.00 ",CATEEL DIST.,,
6342410,01/01/99,12/31/99,T - I,PERM.," 103,260.00 ",CATEEL DIST.,,
6342410,01/01/00,07/21/00,T - I,PERM.," 113,592.00 ",CATEEL DIST.,,NBC 468
6342410,07/22/00,12/31/00,T - I,PERM.," 116,436.00 ",CATEEL DIST.,,T - I STEP 2
6342410,01/01/01,06/30/01,T - I,PERM.," 116,436.00 ",CATEEL DIST.,,
6342410,07/01/01,12/31/01,T - I,PERM.," 122,256.00 ",CATEEL DIST.,,NBC 474
6342410,01/01/02,12/31/02,T - I,PERM.," 122,256.00 ",CATEEL DIST.,,
6342410,01/01/03,07/21/03,T - I,PERM.," 122,256.00 ",CATEEL DIST.,,
6342410,07/22/03,12/31/03,T - I,PERM.," 125,304.00 ",CATEEL DIST.,,T - I STEP 3
6342410,01/01/04,12/31/04,T - I,PERM.," 125,304.00 ",CATEEL DIST.,,
6342410,01/01/05,12/31/05,T - I,PERM.," 125,304.00 ",CATEEL DIST.,,
6342410,01/01/06,12/31/06,T - I,PERM.," 125,304.00 ",CATEEL DIST.,,
6342410,01/01/07,03/31/07,T - I,PERM.," 125,304.00 ",CATEEL DIST.,,
6342410,04/01/07,06/30/07,T - I,PERM.," 128,448.00 ",CATEEL DIST.,,T - I STEP 4
6342410,07/01/07,12/31/07,T - I,PERM.," 141,288.00 ",CATEEL DIST.,,E.O. 611
6342410,01/01/08,06/30/08,T - I,PERM.," 141,288.00 ",CATEEL DIST.,,
6342410,07/01/08,12/31/08,T - I,PERM.," 155,412.00 ",CATEEL DIST.,,E.O. 719
6342410,01/01/09,06/30/09,T - I,PERM.," 155,412.00 ",CATEEL DIST.,,
6342410,07/01/09,12/31/09,T - I,PERM.," 180,864.00 ",CATEEL DIST.,,E.O. 811
6342410,01/01/10,01/31/10,T - I,PERM.," 180,865.00 ",CATEEL DIST.,,
6342410,02/01/10,06/23/10,T - I,PERM.," 184,548.00 ",CATEEL DIST.,,T - I STEP 5
6342410,06/24/10,12/31/10,T - I,PERM.," 200,244.00 ",CATEEL DIST.,,NBC 524
6342410,01/01/11,05/31/11,T - I,PERM.," 200,244.00 ",CATEEL DIST.,,
6342410,06/01/11,12/31/11,T - I,PERM.," 215,928.00 ",CATEEL DIST.,,NBC 530
6342410,01/01/12,05/31/12,T - I,PERM.," 215,928.00 ",CATEEL DIST.,,
6342410,0601/12 ,07/21/12,T - I,PERM.," 231,624.00 ",CATEEL DIST.,,NBC 540
6342410,07/22/12,12/31/12,T - I,PERM.," 233,940.00 ",CATEEL DIST.,,"T-1, STEP 6"
6342410,01/01/13,12/31/13,T - I,PERM.," 233,940.00 ",CATEEL DIST.,,
6342410,01/01/14,12/31/14,T - I,PERM.," 233,940.00 ",CATEEL DIST.,,
6342410,01/01/15,07/21/15,T - I,PERM.," 233,940.00 ",CATEEL DIST.,,
6342410,07/22/15,12/31/15,T - I,PERM.," 238,644.00 ",CATEEL DIST.,,"T-1, STEP 7"
6342410,01/01/16,12/31/16,T - I,PERM.," 244,344.00 ",CATEEL DIST.,,NBC 562
6342410,01/01/17,12/31/17,T - I,PERM.," 252,696.00 ",CATEEL DIST.,,NBC 568
6342410,01/01/18,07/21/18,T - I,PERM.," 261,324.00 ",CATEEL DIST.,,NBC 572
6342410,07/22/18,10/10/18,T - I,PERM.," 264,660.00 ",CATEEL DIST.,,"T-1,STEP 8"
6342410,10/11/18,12/31/18,T - II,PERM.," 265,788.00 ",CATEEL DIST.,,"T-II,STEP 1"
6342410,01/01/19,12/31/19,T - II,PERM.," 275,256.00 ",CATEEL DIST.,,NBC 575
6342410,01/01/20,12/31/20,T - II,PERM.," 293,940.00 ",CATEEL DIST.,,NBC 579
6342410,01/01/21,10/10/21,T - II,PERM.," 312,624.00 ",CATEEL DIST.,,NBC 584
6342410,10/11/21,12/31/21,T - II,PERM.," 316,032.00 ",CATEEL DIST.,,"T-II,STEP 2"
6342410,01/01/22,12/31/2022,T - II,PERM.," 334,704.00 ",CATEEL DIST.,,NBC 588
6342410,01/01/2023,To Present,T - II,PERM.,"353,388.00",CATEEL DIST.,,nbc 591
7319730,03/07/19,12/31/19,T -  I,PERM.," 249,048.00 ",CATEEL DIST.,,NBC 575
7319730,01/01/20,12/31/20,T -  I,PERM.," 267,792.00 ",CATEEL DIST.,,NBC 579
7319730,01/01/21,12/31/21,T -  I,PERM.," 286,524.00 ",CATEEL DIST.,,NBC 584
7319730,01/01/22,12/31/2022,T -  I,PERM.," 305,568.00 ",CATEEL DIST.,,NBC 588
7319730,01/01/23,To present,T-I,PERM.," 324,000.00 ",CATEEL DIST.,,NBC 591
7319380,12/19/18,12/31/18,T - I,PERM.," 242,148.00 ",CATEEL DIST.,,"T-1, STEP 1"
7319380,01/01/19,12/31/19,T - I,PERM.," 249,048.00 ",CATEEL DIST.,,NBC 575
7319380,01/01/20,12/31/20,T - I,PERM.," 267,792.00 ",CATEEL DIST.,,NBC 579
7319380,01/01/21,12/18/21,T - I,PERM.," 286,524.00 ",CATEEL DIST.,,NBC 584
7319380,12/19/21,12/31/21,T - I,PERM.," 289,932.00 ",CATEEL DIST.,,"T-1, STEP 2"
7319380,01/01/22,12/31/2022,T - I,PERM.," 308,676.00 ",CATEEL DIST.,,NBC 588
7319380,01/01/23,To present,T - I,PERM.," 327,408.00 ",CATEEL DIST.,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
