Employee No.,FROM,TO,Designation,Status,Annual Salary,Station/Place of Assignment,L/V and ABS Without Pay,Separation Cause/d,Column1,Column2
9130266,09/21/16,12/31/16,Teacher I,Permanent," 235,440.00 ",Nangan NHS,National,,,NBC 562
9130266,01/01/17,12/31/17,Teacher I,Permanent," 242,148.00 ",Nangan NHS,National,,,NBC 568
9130266,01/01/18,12/31/18,Teacher I,Permanent," 249,048.00 ",Nangan NHS,National,,,NBC 572
9130266,01/01/19,09/20/19,Teacher I,Permanent," 249,048.00 ",Nangan NHS,National,,,NBC 575
9130266,09/21/19,12/31/19,Teacher I,Permanent," 252,456.00 ",Nangan NHS,National,,,Step 2
9130266,01/01/20,12/31/20,Teacher I,Permanent," 271,200.00 ",Nangan NHS,National,,,NBC 579
9130266,01/01/21,12/31/21,Teacher I,Permanent," 289,932.00 ",Nangan NHS,National,,,NBC 584
9130266,01/01/22,12/31/22,Teacher I,Permanent," 308,676.00 ",Nangan NHS,National,,,NBC 588
9130266,01/01/23,PRESENT,Teacher I,Permanent," 3,274,048.00 ",Nangan NHS,National,,,NBC 591
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
