Employee No.,FROM,TO,Designation,Status,Annual Salary,Station/Place of Assignment,L/V and ABS Without Pay,Separation Cause/d,
5180379,08/28/96,12/31/96,TEACHER I,PERMANENT,"72,156.00",BANAYBANAY DISTRICT,,,
5180379,01/01/97,10/31/97,TEACHER I,PERMANENT,"87,708.00",BANAYBANAY DISTRICT,,NBC 458 A,
5180379,11/01/97,12/31/97,TEACHER I,PERMANENT,"103,260.00",BANAYBANAY DISTRICT,,NBC 458 B,
5180379,01/01/98,12/31/98,TEACHER I,PERMANENT,"103,260.00",BANAYBANAY DISTRICT,,,
5180379,01/01/99,08/27/99,TEACHER I,PERMANENT,"103,260.00",BANAYBANAY DISTRICT,, ,
5180379,08/28/99,12/31/99,TEACHER I,PERMANENT,"105,852.00",BANAYBANAY DISTRICT,,step 2,
5180379,01/01/00,12/31/00,TEACHER I,PERMANENT,"116,436.00",BANAYBANAY DISTRICT,,NBC 468,
5180379,01/01/01,06/30/01,TEACHER I,PERMANENT,"116,436.00",BANAYBANAY DISTRICT,,,
5180379,07/01/01,12/31/01,TEACHER I,PERMANENT,"122,256.00",BANAYBANAY DISTRICT,,NBC 474,
5180379,01/01/02,08/27/02,TEACHER I,PERMANENT,"122,256.00",BANAYBANAY DISTRICT,,,
5180379,08/28/02,12/31/02,TEACHER I,PERMANENT,"125,304.00",BANAYBANAY DISTRICT,,step 3,
5180379,01/01/03,12/31/03,TEACHER I,PERMANENT,"125,304.00",BANAYBANAY DISTRICT,,,
5180379,01/01/04,12/31/04,TEACHER I,PERMANENT,"125,304.00",BANAYBANAY DISTRICT,,,
5180379,01/01/05,08/27/05,TEACHER I,PERMANENT,"125,304.00",BANAYBANAY DISTRICT,,,
5180379,08/28/05,12/31/05,TEACHER I,PERMANENT,"128,448.00",BANAYBANAY DISTRICT,,step 4,
5180379,01/01/06,12/31/06,TEACHER I,PERMANENT,"128,448.00",BANAYBANAY DISTRICT,,,
5180379,01/01/07,06/30/07,TEACHER I,PERMANENT,"128,448.00",BANAYBANAY DISTRICT,,,
