Employee No.,FROM,TO,Designation,Status,Annual Salary,Station/Place of Assignment,L/V and ABS Without Pay,Separation Cause/d
7317150,01/18/2018,12/31/2018,TEACHER I,Permanent,"242,148.00",CATEEL II DISTRICT,,NBC 572
7317150,01/01/2019,12/31/2019,TEACHER I,Permanent,"249,048.00",CATEEL II DISTRICT,,NBC 575
7317150,01/01/2020,12/31/2020,TEACHER I,Permanent,"267,792.00",CATEEL II DISTRICT,,NBC 579
7317150,01/01/2021,12/31/2021,TEACHER I,Permanent,"289,932.00",CATEEL II DISTRICT,,STEP 2
7317150,01/01/2022,12/31/2022,TEACHER I,Permanent,"308,676.00",CATEEL II DISTRICT,,NBC 588
7317150,01/01/2023,PRESENT,TEACHER I,Permanent,"327,408.00",CATEEL II DISTRICT,,NBC 591
8323110,09/13/2018,12/31/2018,TEACHER I,Permanent,"242,148.00",CATEEL II DISTRICT,,NBC 572
8323110,01/01/2019,12/31/2019,TEACHER I,Permanent,"249,048.00",CATEEL II DISTRICT,,NBC 575
8323110,01/01/2020,12/31/2020,TEACHER I,Permanent,"267,792.00",CATEEL II DISTRICT,,NBC 579
8323110,01/01/2021,09/12/2021,TEACHER I,Permanent,"286,524.00",CATEEL II DISTRICT,,NBC 584
8323110,09/13/2021,12/31/2021,TEACHER I,Permanent,"289,932.00",CATEEL II DISTRICT,,STEP 2
8323110,01/01/2022,12/31/2022,TEACHER I,Permanent,"308,676.00",CATEEL II DISTRICT,,NBC 588
8323110,01/01/2023,PRESENT,TEACHER I,Permanent,"327,408.00",CATEEL II DISTRICT,,NBC 591
7316000,15/08/2017,12/31/2017,TEACHER I,Permanent,"235,440.00",CATEEL II DISTRICT,,NBC 568
7316000,01/01/2018,12/31/2018,TEACHER I,Permanent,"242,148.00",CATEEL II DISTRICT,,NBC 572
7316000,01/01/2019,12/31/2019,TEACHER I,Permanent,"249,048.00",CATEEL II DISTRICT,,NBC 575
7316000,01/01/2020,08/14/2020,TEACHER I,Permanent,"267,792.00",CATEEL II DISTRICT,,NBC 579
7316000,08/15/2020,12/31/2020,TEACHER I,Permanent,"271,200.00",CATEEL II DISTRICT,,STEP 2
7316000,01/01/2021,12/31/2021,TEACHER I,Permanent,"289,932.00",CATEEL II DISTRICT,,NBC 584
7316000,01/01/2022,11/15/2022,TEACHER I,Permanent,"308,676.00",CATEEL II DISTRICT,,NBC 588
7316000,11/16/2022,12/31/2022,TEACHER III,Permanent,"357,576.00",CATEEL II DISTRICT,,NBC 588
7316000,01/01/2023,PRESENT,TEACHER III,Permanent,"375,840.00",CATEEL II DISTRICT,,NBC 591
7322410,12/14/2021,12/31/2021,ADMINISTRATIVE OFFICER II,Permanent,"286,524.00",CATEEL II DISTRICT,,NBC 584
7322410,01/01/2022,12/31/2022,ADMINISTRATIVE OFFICER II,Permanent,"305,268.00",CATEEL II DISTRICT,,NBC 588
7322410,01/01/2023,PRESENT,ADMINISTRATIVE OFFICER II,Permanent,"324,000.00",CATEEL II DISTRICT,,NBC 591
7315190,08/16/2016,12/31/2016,TEACHER I,Permanent,"228,924.00",CATEEL II DISTRICT,,NBC 562
7315190,01/01/2017,12/31/2017,TEACHER I,Permanent,"235,440.00",CATEEL II DISTRICT,,NBC 568
7315190,01/01/2018,12/31/2018,TEACHER I,Permanent,"242,148.00",CATEEL II DISTRICT,,NBC 572
7315190,01/01/2019,08/15/2019,TEACHER I,Permanent,"249,048.00",CATEEL II DISTRICT,,NBC 575
7315190,08/16/2019,12/31/2019,TEACHER I,Permanent,"252,456.00",CATEEL II DISTRICT,,STEP 2
7315190,01/01/2020,12/31/2020,TEACHER I,Permanent,"271,200.00",CATEEL II DISTRICT,,NBC 579
7315190,01/01/2021,12/31/2021,TEACHER I,Permanent,"289,932.00",CATEEL II DISTRICT,,NBC 584
7315190,01/01/2022,08/15/2022,TEACHER I,Permanent,"308,676.00",CATEEL II DISTRICT,,NBC 588
7315190,08/16/2022,12/31/2022,TEACHER I,Permanent,"312,144.00",CATEEL II DISTRICT,,STEP 3
7315190,01/01/2023,PRESENT,TEACHER I,Permanent,"330,876.00",CATEEL II DISTRICT,,NBC 591
7319390,12/19/2018,12/31/2018,TEACHER I,Permanent,"242,148.00",CATEEL II DISTRICT,,NBC 572
7319390,01/01/2019,12/31/2019,TEACHER I,Permanent,"249,048.00",CATEEL II DISTRICT,,NBC 575
7319390,01/01/2020,12/31/2020,TEACHER I,Permanent,"267,792.00",CATEEL II DISTRICT,,NBC 579
7319390,01/01/2021,12/18/2021,TEACHER I,Permanent,"286,524.00",CATEEL II DISTRICT,,NBC 584
7319390,12/19/2021,12/31/2021,TEACHER I,Permanent,"289,932.00",CATEEL II DISTRICT,,STEP 2
7319390,01/01/2022,12/31/2022,TEACHER I,Permanent,"308,676.00",CATEEL II DISTRICT,,NBC 588
7319390,01/01/2023,PRESENT,TEACHER I,Permanent,"327,408.00",CATEEL II DISTRICT,,NBC 591
