Employee No.,FROM,TO,Designation,Status, Annual Salary ,Station/Place of Assignment,L/V and ABS Without Pay,Separation Cause/d
7900250,7/8/2012,12/31/12,Teacher I,Permanent,"222,588.00",Hadji Aton Bangal ES/Banaybanay District,,step 1
7900250,1/1/2013,12/31/13,Teacher I,Permanent,"222,588.00",Hadji Aton Bangal ES/Banaybanay District,,
7900250,1/1/2014,12/31/14,Teacher I,Permanent,"222,588.00",Hadji Aton Bangal ES/Banaybanay District,, 
7900250,1/1/2015,6/8/2015,Teacher I,Permanent,"222,588.00",Hadji Aton Bangal ES/Banaybanay District,,
7900250,7/8/2015,12/31/15,Teacher I,Permanent,"224,820.00",Hadji Aton Bangal ES/Banaybanay District,,step 2
7900250,1/1/2016,12/31/16,Teacher I,Permanent,"228,924.00",Hadji Aton Bangal ES/Banaybanay District,,NBC 562
7900250,1/1/2017,12/31/17,Teacher I,Permanent,"238,236.00",Hadji Aton Bangal ES/Banaybanay District,,NBC 568
7900250,1/1/2018,6/8/2018,Teacher I,Permanent,"245,244.00",Hadji Aton Bangal ES/Banaybanay District,,NBC 572
7900250,7/8/2018,12/31/18,Teacher I,Permanent,"248,376.00",Hadji Aton Bangal ES/Banaybanay District,,step 3
7900250,1/1/2019,12/31/19,Teacher I,Permanent,"248,376.00",Hadji Aton Bangal ES/Banaybanay District,,NBC 575
7900250,1/1/2020,12/31/20,Teacher I,Permanent,"274,668.00",Hadji Aton Bangal ES/Banaybanay District,,NBC 579
7900250,1/1/2021,6/8/2021,Teacher I,Permanent,"293,400.00",Hadji Aton Bangal ES/Banaybanay District,,NBC 584
7900250,7/8/2021,12/31/21,Teacher I,Permanent,"296,904.00",Hadji Aton Bangal ES/Banaybanay District,,Step 4
7900250,1/1/2022,08/16/22,Teacher I,Permanent,"315,648.00",Hadji Aton Bangal ES/Banaybanay District,,NBC 588
7900250,08/17/22,12/31/22,Teacher III,Permanent,"357,576.00",Hadji Aton Bangal ES/Banaybanay District,,Promoted to T-III
7900250,1/1/2023,PRESENT,Teacher III,Permanent,"375,840.00",Hadji Aton Bangal ES/Banaybanay District,,NBC 591
7904280,9/3/2016,12/31/16,Teacher I,Permanent,"228,924.00",Hadji Aton Bangal ES/Banaybanay District,,step 1
