Employee No.,FROM,TO,Designation,Status, Annual Salary ,Station/Place of Assignment,L/V and ABS Without Pay,Separation Cause/d
5303098,01/19/15,12/31/15,T-I,PERM.," 222,588.00 ",BANAYBANAY NHS,,
5303098,01/1/16,12/31/16,T-I,PERM.," 228,924.00 ",BANAYBANAY NHS,,
5303098,01/1/17,12/31/17,T-I,PERM.," 235,440.00 ",BANAYBANAY NHS,,
5303098,01/1/18,01/19/18,T-I,PERM.," 242,148.00 ",BANAYBANAY NHS,,
5303098,01/20/18,12/31/18,T-I,PERM.," 245,244.00 ",BANAYBANAY NHS,,
5303098,01/1/19,12/31/19,T-I,PERM.," 252,456.00 ",BANAYBANAY NHS,,
5303098,01/1/2020,12/31/2020,T-I,PERM.," 271,200.00 ",BANAYBANAY NHS,,
5303098,01/01/2021,1/19/2021,T-I,PERM.," 289,932.00 ",BANAYBANAY NHS,,
5303098,1/20/2021,12/31/2021,T-I,PERM.," 293,400.00 ",BANAYBANAY NHS,,
5303098,01/01/2022,3/20/2022,T-I,PERM.," 312,144.00 ",BANAYBANAY NHS,,
5303098,3/21/2022,12/31/2022,MT-I,PERM.," 542,436.00 ",BANAYBANAY NHS,,
5303098,01/01/2023,2/19/2023,MT-I,PERM.," 560,700.00 ",BANAYBANAY NHS,,
5303098,2/20/2023,5/29/2023,MT-I,PERM.," 560,700.00 ",BANAYBANAY NHS,,
5303098,5/30/2023,10/30/2023,MT-I,PERM.," 560,700.00 ",BANAYBANAY NHS,,
5303098,10/31/2023,Present,MT-I,PERM.," 560,700.00 ",BANAYBANAY NHS,,
5303198,16/07/2018,31/12/2018,T-I,PERM.,"242,148.00",BANAYBANAY NHS,,
5303198,01/01/2019,25/02/2019,T-I,PERM.," 249,048.00 ",BANAYBANAY NHS,,
5303198,26/02/2019,26/04/2019,T-I,PERM.," 249,048.00 ",BANAYBANAY NHS,,
5303198,27/04/2019,31/12/2019,T-I,PERM.," 249,048.00 ",BANAYBANAY NHS,,
5303198,01/01/2020,31/12/2020,T-I,PERM.," 267,792.00 ",BANAYBANAY NHS,,
5303198,01/01/2021,15/07/2021,T-I,PERM.," 286,524.00 ",BANAYBANAY NHS,,
5303198,16/07/2021,31/12/2021,T-I,PERM.," 289,932.00 ",BANAYBANAY NHS,,
5303198,01/01/2022,31/12/2022,T-I,PERM.," 308,676.00 ",BANAYBANAY NHS,,
5303198,01/01/2023,Present,T-I,PERM.," 327,408.00 ",BANAYBANAY NHS,,
5303094,08/8/16,12/31/16,T-I,PERM.," 228,924.00 ",BANAYBANAY NHS,,
5303094,01/1/17,12/31/17,T-I,PERM.," 235,440.00 ",BANAYBANAY NHS,,
5303094,01/1/18,12/31/18,T-I,PERM.," 242,148.00 ",BANAYBANAY NHS,,
5303094,01/1/19,08/7/19,T-I,PERM.," 249,048.00 ",BANAYBANAY NHS,,
5303094,08/8/19,12/31/19,T-I,PERM.," 249,048.00 ",BANAYBANAY NHS,,
5303094,01/1/2020,31/12/2020,T-I,PERM.," 271,200.00 ",BANAYBANAY NHS,,
5303094,1/1/2021,28/05/2021,T-I,PERM.," 289,932.00 ",BANAYBANAY NHS,,
5303094,5/29/2021,10/09/2021,T-I,PERM.," 289,932.00 ",BANAYBANAY NHS,,
5303094,9/11/2021,31/12/2021,T-I,PERM.," 289,932.00 ",BANAYBANAY NHS,,
5303094,1/1/2022,07/08/2022,T-I,PERM.," 308,676.00 ",BANAYBANAY NHS,,
5303094,8/8/2022,31/12/2022,T-I,PERM.," 312,144.00 ",BANAYBANAY NHS,,
5303094,1/1/2023,Present,T-I,PERM.," 330,876.00 ",BANAYBANAY NHS,,
5303010,01/2/90,12/31/90,SST-I,PERM.," 37,224.00 ",BANAYBANAY NHS,,
5303010,01/1/91,12/31/91,SST-I,PERM.," 37,224.00 ",BANAYBANAY NHS,,
5303010,01/1/92,12/31/92,SST-I,PERM.," 37,224.00 ",BANAYBANAY NHS,,
5303010,01/1/93,12/31/93,SST-I,PERM.," 37,224.00 ",BANAYBANAY NHS,,
5303010,01/1/94,12/31/94,SST-I,PERM.," 46,824.00 ",BANAYBANAY NHS,,
5303010,01/1/95,12/31/95,SST-I,PERM.," 58,824.00 ",BANAYBANAY NHS,,
5303010,01/1/96,12/31/96,SST-I,PERM.," 72,156.00 ",BANAYBANAY NHS,,
5303010,01/1/97,12/31/97,SST-I,PERM.," 90,696.00 ",BANAYBANAY NHS,,
5303010,01/1/97,12/31/97,SST-I,PERM.," 108,492.00 ",BANAYBANAY NHS,,
5303010,01/1/98,01/1/99,SST-I,PERM.," 108,492.00 ",BANAYBANAY NHS,,
5303010,01/2/99,12/31/99,SST-I,PERM.," 111,204.00 ",BANAYBANAY NHS,,
5303010,01/1/00,12/31/00,SST-I,PERM.," 122,328.00 ",BANAYBANAY NHS,,
5303010,01/1/01,06/30/01,SST-I,PERM.," 122,328.00 ",BANAYBANAY NHS,,
5303010,07/1/01,12/31/01,SST-I,PERM.," 128,448.00 ",BANAYBANAY NHS,,
5303010,01/1/02,01/1/02,SST-I,PERM.,"128,448.00",BANAYBANAY NHS,,
5303010,01/2/02,12/31/02,SST-I,PERM.,"131,652.00",BANAYBANAY NHS,,
5303010,01/1/03,12/31/03,SST-I,PERM.,"131,652.00",BANAYBANAY NHS,,
5303010,01/1/04,01/1/05,T-I,PERM.,"131,652.00",BANAYBANAY NHS,,
5303010,01/2/05,12/31/05,T-I,PERM.,"134,952.00",BANAYBANAY NHS,,
5303010,01/1/06,12/31/06,T-I,PERM.,"134,952.00",BANAYBANAY NHS,,
5303010,01/1/07,06/30/07,T-I,PERM.,"134,952.00",BANAYBANAY NHS,,
5303010,07/1/07,01/1/08,T-I,PERM.,"148,452.00",BANAYBANAY NHS,,
5303010,01/2/08,06/30/08,T-I,PERM.,"152,160.00",BANAYBANAY NHS,,
5303010,07/1/08,12/31/08,T-I,PERM.,"167,376.00",BANAYBANAY NHS,,
5303010,01/1/09,06/30/09,T-I,PERM.,"167,376.00",BANAYBANAY NHS,,
5303010,07/1/09,12/31/09,T-I,PERM.,"192,132.00",BANAYBANAY NHS,,
5303010,01/1/10,06/23/10,T-I,PERM.,"192,132.00",BANAYBANAY NHS,,
5303010,06/24/10,01/1/11,T-I,PERM.,"206,844.00",BANAYBANAY NHS,,
5303010,01/2/11,05/31/11,T-I,PERM.,"210,228.00",BANAYBANAY NHS,,
5303010,06/1/11,12/31/11,T-I,PERM.,"224,436.00",BANAYBANAY NHS,,
5303010,01/1/12,05/31/12,T-I,PERM.,"224,436.00",BANAYBANAY NHS,,
5303010,06/1/12,11/22/12,T-I,PERM.,"238,644.00",BANAYBANAY NHS,,
5303010,11/23/12,12/31/12,T-II,PERM.,"239,280.00",BANAYBANAY NHS,,
5303010,01/1/13,12/31/13,T-II,PERM.,"239,280.00",BANAYBANAY NHS,,
5303010,01/1/14,12/31/14,T-II,PERM.,"239,280.00",BANAYBANAY NHS,,
5303010,01/1/15,11/22/15,T-II,PERM.,"239,280.00",BANAYBANAY NHS,,
5303010,11/23/15,12/31/15,T-II,PERM.,"241,680.00",BANAYBANAY NHS,,
5303010,01/1/16,12/31/16,T-II,PERM.,"250,440.00",BANAYBANAY NHS,,
5303010,01/1/17,12/31/17,T-II,PERM.,"259,512.00",BANAYBANAY NHS,,
5303010,01/1/18,11/22/18,T-II,PERM.,"259,512.00",BANAYBANAY NHS,,
5303010,11/23/18,12/31/18,T-II,PERM.," 272,088.00 ",BANAYBANAY NHS,,
5303010,01/1/19,12/31/19,T-II,PERM.," 282,120.00 ",BANAYBANAY NHS,,
5303010,01/1/2020,31/12/2020,T-II,PERM.," 300,804.00 ",BANAYBANAY NHS,,
5303010,01/01/2021,22/11/2021,T-II,PERM.," 319,488.00 ",BANAYBANAY NHS,,
5303010,11/23/2021,31/12/2021,T-II,PERM.," 322,980.00 ",BANAYBANAY NHS,,
5303010,01/01/2022,31/12/2022,T-II,PERM.," 341,652.00 ",BANAYBANAY NHS,,
5303010,01/01/2023,Present,T-II,PERM.," 360,336.00 ",BANAYBANAY NHS,,
5303020,01/19/96,09/15/96,SST-I,PERM.,"P72,156.00 ",Nangan NHS,,
5303020,09/16/96,12/31/96,SST-I,PERM.," 72,156.00 ",BANAYBANAY NHS,,
5303020,01/1/97,10/31/97,SST-I,PERM.," 87,708.00 ",BANAYBANAY NHS,,
5303020,11/1/97,12/31/97,SST-I,PERM.," 103,260.00 ",BANAYBANAY NHS,,
5303020,01/1/98,12/31/98,SST-I,PERM.," 103,260.00 ",BANAYBANAY NHS,,
5303020,01/1/99,12/31/99,SST-I,PERM.," 103,260.00 ",BANAYBANAY NHS,,
5303020,01/100,12/31/00,SST-I,PERM.," 105,852.00 ",BANAYBANAY NHS,,
5303020,01/1/01,06/30/01,SST-I,PERM.," 116,436.00 ",BANAYBANAY NHS,,
5303020,07/1/01,12/31/01,SST-I,PERM.," 122,256.00 ",BANAYBANAY NHS,,
5303020,01/1/02,01/18/02,SST-I,PERM.," 122,256.00 ",BANAYBANAY NHS,,
5303020,01/9/02,12/31/02,SST-I,PERM.," 125,304.00 ",BANAYBANAY NHS,,
5303020,01/1/03,12/31/03,SST-I,PERM.," 125,304.00 ",BANAYBANAY NHS,,
5303020,01/1/04,12/31/04,T-I,PERM.," 125,304.00 ",BANAYBANAY NHS,,
5303020,01/1/05,01/18/05,T-I,PERM.," 125,304.00 ",BANAYBANAY NHS,,
5303020,01/19/05,12/31/05,T-I,PERM.," 128,448.00 ",BANAYBANAY NHS,,
5303020,01/1/06,12/31/06,T-I,PERM.," 128,448.00 ",BANAYBANAY NHS,,
5303020,01/1/06,12/31/06,T-I,PERM.," 128,448.00 ",BANAYBANAY NHS,,
5303020,01/1/07,06/30/07,T-I,PERM.," 141,288.00 ",BANAYBANAY NHS,,
5303020,07/1/07,12/31/07,T-I,PERM.," 141,288.00 ",BANAYBANAY NHS,,
5303020,01/19/08,06/30/08,T-I,PERM.," 144,816.00 ",BANAYBANAY NHS,,
5303020,07/1/08,12/31/08,T-I,PERM.," 159,300.00 ",BANAYBANAY NHS,,
5303020,01/1/09,06/30/09,T-I,PERM.,"159,300.00",BANAYBANAY NHS,,
5303020,07/1/09,12/31/09,T-I,PERM.,"184,548.00",BANAYBANAY NHS,,
5303020,01/1/10,06/23/10,T-I,PERM.,"184,548.00",BANAYBANAY NHS,,
5303020,06/24/10,11/21/10,T-I,PERM.,"200,244.00",BANAYBANAY NHS,,
5303020,11/22/10,12/31/10,T-II,PERM.,"200,712.00",BANAYBANAY NHS,,
5303020,01/1/11,5/31/11,T-II,PERM.,"200,712.00",BANAYBANAY NHS,,
5303020,06/1/11,12/31/12,T-II,PERM.,"219,996.00",BANAYBANAY NHS,,
5303020,01/1/12,05/31/12,T-II,PERM.,"219,996.00",BANAYBANAY NHS,,
5303020,06/1/12,12/31/12,T-II,PERM.,"239,280.00",BANAYBANAY NHS,,
5303020,01/1/13,11/21/13,T-II,PERM.,"239,280.00",BANAYBANAY NHS,,
5303020,11/22/13,12/31/13,T-II,PERM.,"241,680.00",BANAYBANAY NHS,,
5303020,01/1/14,12/31/14,T-II,PERM.,"241,680.00",BANAYBANAY NHS,,
5303020,01/1/15,12/31/15,T-II,PERM.,"241,680.00",BANAYBANAY NHS,,
5303020,01/1/16,08/14/16,T-II,PERM.,"250,440.00",BANAYBANAY NHS,,
5303020,08/15/16,12/31/16,T-III,PERM.,"267,936.00",BANAYBANAY NHS,,
5303020,01/1/17,12/31/17,T-III,PERM.,"279,084.00",BANAYBANAY NHS,,
5303020,01/1/18,12/31/18,T-III,PERM.,"290,688.00",BANAYBANAY NHS,,
5303020,01/1/19,08/14/19,T-III,PERM.,"302,784.00",BANAYBANAY NHS,,
5303020,08/15/19,12/31/19,T-III,PERM.,"306,540.00",BANAYBANAY NHS,,
5303020,01/1/2020,12/31/20,T-III,PERM.,"324,804.00",BANAYBANAY NHS,,
5303020,01/1/2021,12/31/21,T-III,PERM.,"343,068.00",BANAYBANAY NHS,,
5303020,01/1/2022,08/14/22,T-III,PERM.,"361,332.00",BANAYBANAY NHS,,
5303020,8/15/2022,12/31/22,T-III,PERM.,"365,124.00",BANAYBANAY NHS,,
5303020,01/1/2023,Present,T-III,PERM.,"383,388.00",BANAYBANAY NHS,,
