Employee No.,FROM,TO,Designation,Status, Annual Salary ,Station/Place of Assignment,L/V and ABS Without Pay,Separation Cause/d
7903840,11/19/15,12/31/15,T-I,PERM.," 222,588.00 ",LUPON WEST DISTRICT,,
7903840,01/01/16,12/31/16,T-I,PERM.," 228,924.00 ",LUPON WEST DISTRICT,,NBC 562
7903840,01/01/17,12/31/17,T-I,PERM.," 235,440.00 ",LUPON WEST DISTRICT,,NBC 568
7903840,01/01/18,11/18/18,T-I,PERM.," 242,148.00 ",LUPON WEST DISTRICT,,NBC 572
7903840,11/19/18,12/31/18,T-I,PERM.," 245,244.00 ",LUPON WEST DISTRICT,,STEP 2
7903840,01/01/19,12/31/19,T-I,PERM.," 252,456.00 ",LUPON WEST DISTRICT,,NBC 575
7903840,01/01/20,12/31/20,T-I,PERM.," 271,200.00 ",LUPON WEST DISTRICT,,NBC 579
7903840,01/01/21,11/18/21,T-I,PERM.," 289,932.00 ",LUPON WEST DISTRICT,,NBC 584
7903840,11/19/21,12/31/21,T-I,PERM.," 293,400.00 ",LUPON WEST DISTRICT,,STEP 3
7903840,01/01/22,12/31/22,T-I,PERM.," 312,144.00 ",LUPON WEST DISTRICT,,NBC 588
7903840,01/01/23,PRESENT,T-I,PERM.," 330,876.00 ",LUPON WEST DISTRICT,,NBC 591
7904880,07/25/16,09/22/16,T-I,SUBST," 228,924.00 ",LUPON WEST DISTRICT,,
7904880,10/30/16,12/30/16,T-I,SUBST," 228,924.00 ",LUPON WEST DISTRICT,,
7904880,01/19/17,03/09/17,T-I,SUBST," 228,924.00 ",LUPON WEST DISTRICT,,
7904880,03/14/17,12/31/17,T-I,Permanent," 235,440.00 ",LUPON WEST DISTRICT,,NBC 568
7904880,01/01/18,12/31/18,T-I,Permanent," 235,440.00 ",LUPON WEST DISTRICT,,
7904880,01/01/19,12/31/19,T-I,Permanent," 249,048.00 ",LUPON WEST DISTRICT,,
7904880,01/01/20,03/13/20,T-I,Permanent," 267,792.00 ",LUPON WEST DISTRICT,,
7904880,03/14/20,12/31/20,T-I,Permanent," 271,200.00 ",LUPON WEST DISTRICT,,Step 2
7904880,01/01/21,12/31/21,T-I,Permanent," 289,932.00 ",LUPON WEST DISTRICT,,NBC 584
7904880,01/01/22,12/31/22,T-I,Permanent," 308,676.00 ",LUPON WEST DISTRICT,,NBC 588
7904880,01/01/23,03/13/23,T-I,Permanent," 327,408.00 ",LUPON WEST DISTRICT,,NBC 591
7904880,03/14/23,PRESENT,T-I,Permanent," 330,876.00 ",LUPON WEST DISTRICT,,Step 3
7903940,03/22/16,12/31/16,T-I,PERM.," 228,924.00 ",LUPON WEST DISTRICT,,NBC 562
7903940,01/01/17,12/31/17,T-I,PERM.," 235,440.00 ",LUPON WEST DISTRICT,,NBC 568
7903940,01/01/18,12/31/18,T-I,PERM.," 245,244.00 ",LUPON WEST DISTRICT,,NBC 572
7903940,01/01/19,03/21/19,T-I,PERM.," 245,244.00 ",LUPON WEST DISTRICT,,NBC 575
7903940,03/22/19,12/31/19,T-I,PERM.," 245,244.00 ",LUPON WEST DISTRICT,,STEP 2
7903940,01/01/20,12/31/20,T-I,PERM.," 271,200.00 ",LUPON WEST DISTRICT,,NBC 579
7903940,01/01/21,12/31/21,T-I,PERM.," 289,932.00 ",LUPON WEST DISTRICT,,NBC 584
7903940,01/01/22,03/21/22,T-I,PERM.," 308,676.00 ",LUPON WEST DISTRICT,,NBC 588
7903940,03/22/22,12/31/22,T-I,PERM.," 312,144.00 ",LUPON WEST DISTRICT,,STEP3
7903940,01/01/23,PRESENT,T-I,PERM.," 330,876.00 ",LUPON WEST DISTRICT,,NBC 591
6396790,02/28/03,04/08/03,EGT-I,SUBS.," 119,268.00 ",BANAYBANAY DISTRICT,,
6396790,07/23/03,07/22/03,EGT-I,SUBS.," 119,268.00 ",BANAYBANAY DISTRICT,,
6396790,08/23/03,11/30/03,EGT-I,SUBS.," 119,268.00 ",BANAYBANAY DISTRICT,,
6396790,02/16/04,03/18/04,T-I,SUBS.," 119,268.00 ",BANAYBANAY DISTRICT,,
6396790,01/21/05,12/31/05,T-I,Permanent," 119,268.00 ",LUPON WEST DISTRICT,,
6396790,01/01/06,12/31/06,T-I,Permanent," 119,268.00 ",LUPON WEST DISTRICT,,
6396790,01/01/07,06/30/07,T-I,Permanent," 119,268.00 ",LUPON WEST DISTRICT,,
6396790,07/01/07,12/31/07,T-I,Permanent," 131,196.00 ",LUPON WEST DISTRICT,,NBC 511
6396790,01/01/08,01/20/08,T-I,Permanent," 131,196.00 ",LUPON WEST DISTRICT,,
6396790,01/21/08,06/30/08,T-I,Permanent," 134,484.00 ",LUPON WEST DISTRICT,,STEP 2
6396790,07/01/08,12/31/08,T-I,Permanent," 147,936.00 ",LUPON WEST DISTRICT,,NBC 516
6396790,01/01/09,06/30/09,T-I,Permanent," 147,936.00 ",LUPON WEST DISTRICT,,
6396790,07/01/09,08/16/09,T-I,Permanent," 173,796.00 ",LUPON WEST DISTRICT,,NBC 521 
6396790,08/17/09,12/31/09,T-II,Permanent," 181,428.00 ",LUPON WEST DISTRICT,,Promoted to T-II
6396790,01/01/10,06/23/10,T-II,Permanent," 181,428.00 ",LUPON WEST DISTRICT,,
6396790,06/24/10,12/31/10,T-II,Permanent," 200,712.00 ",LUPON WEST DISTRICT,,NBC 524 
6396790,01/01/11,05/31/11,T-II,Permanent," 200,712.00 ",LUPON WEST DISTRICT,,
6396790,06/01/11,12/31/11,T-II,Permanent," 219,996.00 ",LUPON WEST DISTRICT,,NBC 530
6396790,01/01/12,05/31/12,T-II,Permanent," 219,996.00 ",LUPON WEST DISTRICT,,
6396790,06/01/12,08/16/12,T-II,Permanent," 239,280.00 ",LUPON WEST DISTRICT,,NBC 540
6396790,08/17/12,12/31/12,T-II,Permanent," 241,680.00 ",LUPON WEST DISTRICT,,Step 2
6396790,01/01/13,12/31/13,T-II,Permanent," 241,680.00 ",LUPON WEST DISTRICT,,
